ID,Ref.,Cit.,Alloy,Dmax,Fe,Co,B,Si,Nb,Ni,Y,Zr,Cr,Mo,P,C,Hf,Al,Dy,Er,Mn,Ti,V,Cu,Sn,W,Ta
1,[1],"[1] Z.-Z. Yuan, S.-L. Bao, Y. Lu, D.-P. Zhang, L. Yao, A new criterion for evaluating the glass-forming ability of bulk glass forming alloys, J. Alloys . Compd. 459 (2008) 251–260. https://doi.org/10.1016/j.jallcom.2007.05.037.",((Fe0.5Co0.5)0.75B0.2Si0.05)96Nb4,5,0.36,0.36,0.192,0.048,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,[2],"[2] J.M. Park, J.S. Park, D.H. Kim, J.-H. Kim, E. Fleury, Formation, and mechanical and magnetic properties of bulk ferromagnetic Fe-Nb-B-Y-(Zr, Co).  alloys, J. Mater. Res. 21 (2006) 1019–1024. https://doi.org/10.1557/jmr.2006.0126.",Fe71Nb6B17Y3Zr3,3,0.71,0,0.17,0,0.06,0,0.03,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,[2],"[2] J.M. Park, J.S. Park, D.H. Kim, J.-H. Kim, E. Fleury, Formation, and mechanical and magnetic properties of bulk ferromagnetic Fe-Nb-B-Y-(Zr, Co).  alloys, J. Mater. Res. 21 (2006) 1019–1024. https://doi.org/10.1557/jmr.2006.0126.",Fe69Nb6B17Y3Zr5,3,0.69,0,0.17,0,0.06,0,0.03,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,[2],"[2] J.M. Park, J.S. Park, D.H. Kim, J.-H. Kim, E. Fleury, Formation, and mechanical and magnetic properties of bulk ferromagnetic Fe-Nb-B-Y-(Zr, Co).  alloys, J. Mater. Res. 21 (2006) 1019–1024. https://doi.org/10.1557/jmr.2006.0126.",Fe69Nb6B17Y3Co5,3,0.69,0.05,0.17,0,0.06,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,[2],"[2] J.M. Park, J.S. Park, D.H. Kim, J.-H. Kim, E. Fleury, Formation, and mechanical and magnetic properties of bulk ferromagnetic Fe-Nb-B-Y-(Zr, Co).  alloys, J. Mater. Res. 21 (2006) 1019–1024. https://doi.org/10.1557/jmr.2006.0126.",Fe66Nb6B17Y3Co8,2,0.66,0.08,0.17,0,0.06,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,[1],"[1] Z.-Z. Yuan, S.-L. Bao, Y. Lu, D.-P. Zhang, L. Yao, A new criterion for evaluating the glass-forming ability of bulk glass forming alloys, J. Alloys . Compd. 459 (2008) 251–260. https://doi.org/10.1016/j.jallcom.2007.05.037.",Fe45Co3Cr15Mo14C15B6Y2,8,0.45,0.03,0.06,0,0,0,0.02,0,0.15,0.14,0,0.15,0,0,0,0,0,0,0,0,0,0,0
7,[3],"[3] D.S. Song, J.-H. Kim, E. Fleury, W.T. Kim, D.H. Kim, Synthesis of ferromagnetic Fe-based bulk glassy alloys in the Fe–Nb–B–Y system, J. Alloys. Compd. 389 (2005) 159–164. https://doi.org/10.1016/j.jallcom.2004.08.014.",Fe74.5Nb6Y2.5B17,1,0.745,0,0.17,0,0.06,0,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,[3],"[3] D.S. Song, J.-H. Kim, E. Fleury, W.T. Kim, D.H. Kim, Synthesis of ferromagnetic Fe-based bulk glassy alloys in the Fe–Nb–B–Y system, J. Alloys. Compd. 389 (2005) 159–164. https://doi.org/10.1016/j.jallcom.2004.08.014.",Fe73.5Nb6Y3.5B17,1,0.735,0,0.17,0,0.06,0,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,[3] ,"[3] D.S. Song, J.-H. Kim, E. Fleury, W.T. Kim, D.H. Kim, Synthesis of ferromagnetic Fe-based bulk glassy alloys in the Fe–Nb–B–Y system, J. Alloys. Compd. 389 (2005) 159–164. https://doi.org/10.1016/j.jallcom.2004.08.014.",Fe74Nb6Y3B17,2,0.74,0,0.17,0,0.06,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,[1],"[1] Z.-Z. Yuan, S.-L. Bao, Y. Lu, D.-P. Zhang, L. Yao, A new criterion for evaluating the glass-forming ability of bulk glass forming alloys, J. Alloys . Compd. 459 (2008) 251–260. https://doi.org/10.1016/j.jallcom.2007.05.037.",Fe58Co14Y6B22 ,2.5,0.58,0.14,0.22,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,[1],"[1] Z.-Z. Yuan, S.-L. Bao, Y. Lu, D.-P. Zhang, L. Yao, A new criterion for evaluating the glass-forming ability of bulk glass forming alloys, J. Alloys . Compd. 459 (2008) 251–260. https://doi.org/10.1016/j.jallcom.2007.05.037.",Fe68Mo4Y6B22 ,6.5,0.68,0,0.22,0,0,0,0.06,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0
