ID,Ref.,Alloy,Dmax,Tsol,Tliq,T0,T0 phase,Hmelt,Smelt,Hmix,Sconf,DGM Tsol,DGM phase Tsol,DGM T0,DGM phase T0,r_average,deltaR,VEC_average,chi,deltachi,Fe,Co,B,Si,Nb,Ni,Y,Zr,Cr,Mo,P,C,Hf,Al,Dy,Er,Mn,Ti,V,Cu,Sn,W,Ta
1,[1],((Fe0.5Co0.5)0.75B0.2Si0.05)96Nb4,5,1241.98,1671.15,300,none,31020.02,22.90202463,-31577.4,-1.326948438,0.89514,M3B4_D7B,11.887,M3B4_D7B,0.117872,0.174450844,7.088,1.88248,0.094679721,0.36,0.36,0.192,0.048,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,[2],Fe71Nb6B17Y3Zr3,3,1417.3,2556.04,300,none,66335.8,35.86238919,-24272.2,-0.923598899,2.1524,MB2_C32,18.734,MB2_C32,0.12304,0.186746955,6.7,1.8186,0.170891896,0.71,0,0.17,0,0.06,0,0.03,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,[2],Fe69Nb6B17Y3Zr5,3,1477.63,2668.27,300,none,68607.4,35.02503689,-25834.8,-0.981054597,2.126,MB2_C32,19.217,MB2_C32,0.12364,0.18994751,6.62,1.8086,0.184054448,0.69,0,0.17,0,0.06,0,0.03,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,[2],Fe69Nb6B17Y3Co5,3,1206.17,1761.09,300,none,34448.4,23.94461357,-22635.5,-0.981054597,1.2117,M3B4_D7B,11.869,M3B4_D7B,0.12214,0.181459739,6.87,1.8361,0.148060089,0.69,0.05,0.17,0,0.06,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,[2],Fe66Nb6B17Y3Co8,2,1174.46,1748.81,300,none,36448.3,25.97073075,-23151.4,-1.051532528,1.2782,M3B4_D7B,11.687,M3B4_D7B,0.12214,0.181459739,6.9,1.8376,0.148243853,0.66,0.08,0.17,0,0.06,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,[1],Fe45Co3Cr15Mo14C15B6Y2,8,1370.67,1579.32,300,none,27064.7,18.75460853,-26915.8,-1.555962099,0.36637,M2B_C16,16.193,Y2C3_ALPHA,0.12023,0.195307712,6.45,1.9606,0.300745141,0.45,0.03,0.06,0,0,0,0.02,0,0.15,0.14,0,0.15,0,0,0,0,0,0,0,0,0,0,0
7,[3],Fe74.5Nb6Y2.5B17,1,1295.71,1777.7,300,none,33202.9,22.20960335,-21100.4,-0.731738523,0.96708,M3B4_D7B,12.122,M3B4_D7B,0.119,0.172901891,6.797,1.81713,0.120852307,0.745,0,0.17,0,0.06,0,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,[3],Fe73.5Nb6Y3.5B17,1,1295.71,1778.87,300,none,32692.8,21.97885388,-21586.7,-0.788554606,0.98923,M3B4_D7B,12.142,M3B4_D7B,0.1206,0.180845828,6.765,1.81835,0.142347498,0.735,0,0.17,0,0.06,0,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,[3] ,Fe74Nb6Y3B17,2,1285.37,1779.38,300,none,32711.5,22.0187095,-21726.7,-0.798051812,1.0257,M3B4_D7B,12.152,M3B4_D7B,0.12214,0.181459739,6.82,1.8336,0.147719464,0.74,0,0.17,0,0.06,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,[1],Fe58Co14Y6B22 ,2.5,1045.64,1310.46,300,none,22727.97,19.90814969,-28200.9,-1.093110306,0.33528,M2B_C16,5.7822,BCC_B2#1,0.12012,0.21227067,6.74,1.8466,0.179171538,0.58,0.14,0.22,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,[1],Fe68Mo4Y6B22 ,6.5,1239.2,1579.73,300,none,27318.2,19.9673597,-26804.9,-0.892918264,0.82278,MOB_BG,13.608,MOB_BG,0.12056,0.213371294,6.52,1.8528,0.189378351,0.68,0,0.22,0,0,0,0.06,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0
12,[1],Fe67Mo5Y6B22 ,3.5,1243.18,1629.7,300,none,29478.9,21.19448841,-27034.1,-0.920019327,0.91993,MOB_BG,13.755,MOB_BG,0.12067,0.213632905,6.5,1.8561,0.191811861,0.67,0,0.22,0,0,0,0.06,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0
13,[1],Fe65Mo14C15B6,1.5,1282.44,1480.22,338,BCC_B2,12397.5,9.079435546,-25480.3,-1.008637336,0.4596,MOB_BG,10.119,MOB_BG,0.11889,0.18314231,6.82,1.9968,0.260441471,0.65,0,0.06,0,0,0,0,0,0,0.14,0,0.15,0,0,0,0,0,0,0,0,0,0,0
14,[4],Fe62Co8Hf5Mo7B15Y3,3,1259.25,2371.34,300,none,66227.84,38.42027762,-23721.1,-1.224140039,2.6973,MB2_C32,2.849,MB2_C32,0.12478,0.184545816,6.84,1.8438,0.198634237,0.62,0.08,0.15,0,0,0,0.03,0,0,0.07,0,0,0.05,0,0,0,0,0,0,0,0,0,0
15,[5],Fe61Y2Zr8Co6Al1Mo7B15,5,1457.96,2634.77,300,none,71231.8,36.83687754,-27345.1,-1.267392053,2.0574,MB2_C32,18.075,MB2_C32,0.12486,0.179433177,6.7,1.8332,0.205678779,0.61,0.06,0.15,0,0,0,0.02,0.08,0,0.07,0,0,0,0.01,0,0,0,0,0,0,0,0,0
16,[6] ,Fe50Cr14Mo14C14B6Dy2,4,1376.2842,1604.3798,495.22,BCC_B2,24909.942,17.13090686,-24998.54924,-1.419386093,0.31931,M2B_C16,6.2678,M2B_C16,0.12066,0.190038033,6.48,1.9536,0.294413043,0.5,0,0.06,0,0,0,0,0,0.14,0.14,0,0.14,0,0,0.02,0,0,0,0,0,0,0,0
17,[7],(Fe44.3Cr5Co5Mo12.8Mn11.2C15.8B5.9)98.5Y1.5,12,1294.75,1626.99,300,none,28875.9,20.70624077,-27736.2,-1.680591111,0.74924,Y2C3_ALPHA,15.975,Y2C3_ALPHA,0.11986353,0.194169066,6.60015,1.9499156,0.313638459,0.43635,0.04925,0.05812,0,0,0,0.015,0,0.04925,0.12608,0,0.15563,0,0,0,0,0.11032,0,0,0,0,0,0
